candidate_id,product_type,sensor_ids,selection_start_constraint,selection_end_exclusive_constraint,all_series_have_nonmissing_values,common_window_start_pst,common_window_end_pst,exact_common_nonmissing_timestamp_count,clock_minute_phases_by_sensor,alignment_note
middle_core,15_minute,mid_R; mid_P1; mid_P2; mid_E2_B,not_applicable,not_applicable,True,2002-10-18T12:49:00-08:00,2018-09-24T14:25:00-08:00,519695,mid_R=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; mid_P1=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; mid_P2=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; mid_E2_B=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,exact_common_timestamps_available
toe_core_pre_topple,15_minute,mid_R; toe_M1_A; toe_P7_B; toe_E5_C,not_applicable,2017-03-16,True,2006-11-30T14:47:00-08:00,2017-03-15T23:53:00-08:00,7774,mid_R=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_M1_A=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_P7_B=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_E5_C=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,exact_common_timestamps_available
toe_core_successor_period,15_minute,mid_R; toe_M1_B; toe_P7_B; toe_E5_C,2017-05-17,not_applicable,True,2017-05-17T15:42:00-08:00,2017-09-25T13:28:00-08:00,0,mid_R=00|01|02|04|09|10|11|12|13|14|15|16|17|19|24|25|26|27|28|29|30|31|32|34|39|40|41|42|43|44|45|46|47|49|54|55|56|57|58|59; toe_M1_B=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59; toe_P7_B=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59; toe_E5_C=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59,different_station_clock_phases_no_exact_timestamp_join
middle_late_deep,15_minute,mid_R; mid_P5; mid_P6; mid_E2_B,not_applicable,not_applicable,True,2013-02-05T15:45:00-08:00,2018-09-24T13:25:00-08:00,152972,mid_R=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; mid_P5=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; mid_P6=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; mid_E2_B=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,exact_common_timestamps_available
toe_late_deep_pre_topple,15_minute,mid_R; toe_M1_A; toe_P8_C; toe_P9_D; toe_E5_C,not_applicable,2017-03-02,True,2013-05-23T19:09:00-08:00,2017-03-01T23:51:00-08:00,7113,mid_R=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_M1_A=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_P8_C=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_P9_D=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59; toe_E5_C=00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59,exact_common_timestamps_available
toe_late_deep_successor_period,15_minute,mid_R; toe_M1_B; toe_P8_D; toe_P9_D; toe_E5_C,2017-05-17,not_applicable,True,2017-05-17T15:42:00-08:00,2017-09-25T13:28:00-08:00,0,mid_R=00|01|02|04|09|10|11|12|13|14|15|16|17|19|24|25|26|27|28|29|30|31|32|34|39|40|41|42|43|44|45|46|47|49|54|55|56|57|58|59; toe_M1_B=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59; toe_P8_D=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59; toe_P9_D=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59; toe_E5_C=10|11|12|13|14|25|26|27|28|29|40|41|42|43|44|55|56|57|58|59,different_station_clock_phases_no_exact_timestamp_join
middle_core,daily,mid_R; mid_P1; mid_P2; mid_E2_B,not_applicable,not_applicable,True,2002-10-18T00:00:00-08:00,2018-09-24T00:00:00-08:00,5616,mid_R=00; mid_P1=00; mid_P2=00; mid_E2_B=00,exact_common_timestamps_available
toe_core_pre_topple,daily,mid_R; toe_M1_A; toe_P7_B; toe_E5_C,not_applicable,2017-03-16,True,2006-11-30T00:00:00-08:00,2017-03-15T00:00:00-08:00,3603,mid_R=00; toe_M1_A=00; toe_P7_B=00; toe_E5_C=00,exact_common_timestamps_available
toe_core_successor_period,daily,mid_R; toe_M1_B; toe_P7_B; toe_E5_C,2017-05-17,not_applicable,True,2017-05-17T00:00:00-08:00,2017-09-25T00:00:00-08:00,132,mid_R=00; toe_M1_B=00; toe_P7_B=00; toe_E5_C=00,exact_common_timestamps_available
middle_late_deep,daily,mid_R; mid_P5; mid_P6; mid_E2_B,not_applicable,not_applicable,True,2013-02-05T00:00:00-08:00,2018-09-24T00:00:00-08:00,1906,mid_R=00; mid_P5=00; mid_P6=00; mid_E2_B=00,exact_common_timestamps_available
