"sensor_id","instrument_name","site_location","measured_variable","instrument_type","manufacturer_model","sensor_depth_m","units","measurement_datum","instrument_range","timestamp_timezone","daylight_saving_treatment","nominal_sampling_interval","start_date","end_date","missing_outage_notes","maintenance_instrument_change_notes","source_record","source_file","evidence_url","metadata_completeness","unresolved_fields","phase2_recommendation"
"upp_E6","upp upslope extensometer E6","upper site (upp)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-400","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1016 cm","PST","not_stated","15 minutes; daily median available","1998-11-19","2000-01-16","requires_file_inspection","no change stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","moderate","exact gaps and archive member require file inspection","deferred; short early response record"
"upp_E7","upp downslope extensometer E7","upper site (upp)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-500","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1270 cm","PST","not_stated","15 minutes; daily median available","1998-11-19","1999-07-18","requires_file_inspection","no change stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","moderate","exact gaps and archive member require file inspection","deferred; short early response record"
"mid_E1","mid upslope extensometer E1","middle site (mid)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-VPA-400","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1016 cm","PST","not_stated","15 minutes; daily median available","1997-12-12","2002-07-26","requires_file_inspection","no change stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","moderate","exact gaps and archive member require file inspection","deferred; early response record"
"mid_E2_A","mid downslope extensometer E2_A","middle site (mid)","displacement","linear position transducer and extendable metal cable","USGS; model not stated","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","not_stated","PST","not_stated","15 minutes; daily median available","1997-03-31","2002-07-26","record ends when St. Pauli fire destroyed site","St. Pauli fire destroyed site on 2002-07-26","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","deferred; predecessor is not continuous with mid_E2_B"
"mid_E2_B","mid downslope extensometer E2_B","middle site (mid)","displacement","linear position transducer and extendable metal cable","Unimeasure HX-PA-400 and HX-VPA-400","not_applicable","cm","water-year cumulative displacement; reset to zero each October 1","0 to 1016 cm","PST","not_stated","15 minutes; daily median available","2002-10-18","2018-09-25","multiple broken-instrument and broken-cable intervals; exact gaps require file inspection","instrument alternated between HX-PA-400 and HX-VPA-400 in 2005 2007 2008 and 2009; cable broke by 2016-06-01; replacement HX-PA-400 then operated to end","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","continuity across replacements; exact reset handling; exact gaps and archive member require file inspection","recommended primary long-record response subject to replacement segmentation"
"mid_P1","mid shallow open tube piezometer P1","middle site (mid)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in slotted open PVC tube","USGS using Honeywell 26PCCFA3D","1.79 then 1.82","cm","equivalent water depth above sensor diaphragm","0 to 15 psi transducer range","PST","not_stated","15 minutes; daily median available","1997-10-16","2018-09-25","requires_file_inspection","first sensor may have sunk up to 0.04 m; sensor changed on 2006-05-04 and stated diaphragm depth changed from 1.79 m to 1.82 m","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","continuity across 2006 sensor change; exact gaps and archive member require file inspection","recommended primary shallow middle-site hydrologic predictor"
"mid_P2","mid deep open tube piezometer P2","middle site (mid)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in slotted open PVC tube","USGS using Honeywell 26PCCFA3D","3.69","cm","equivalent water depth above sensor diaphragm","0 to 15 psi transducer range","PST","not_stated","15 minutes; daily median available","1997-10-16","2018-09-25","requires_file_inspection","sensor may have sunk up to 0.04 m over time","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","recommended primary deep middle-site hydrologic predictor"
"mid_P3","mid deep buried pressure transducer P3","middle site (mid)","groundwater pressure head","direct-burial atmospherically vented temperature-compensated amplified strain-gauge pressure transducer","USGS using Honeywell 26PCCFA3D","2.40","cm","equivalent water depth above sensor diaphragm","0 to 15 psi transducer range","PST","not_stated","15 minutes; daily median available","1997-06-26","2001-01-10","requires_file_inspection","no change stated","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","exact gaps and archive member require file inspection","deferred; short early hydrologic record"
"mid_P4","mid deep driven piezometer P4","middle site (mid)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in open steel pipe with tip","Micron MP100E","4.77","cm","equivalent water depth above sensor diaphragm","0 to 10 psi transducer range","PST","not_stated","15 minutes; daily median available","2004-04-07","2011-10-25","requires_file_inspection","sensor and or amplifier replaced eight times between 2005-05-18 and 2010-12-01","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across replacements; exact gaps and archive member require file inspection","deferred; instrument-change burden is high"
"mid_P5","mid upslope deep driven piezometer P5","middle site (mid)","groundwater pressure head","atmospherically vented temperature-compensated amplified strain-gauge pressure transducer in open steel pipe with tip","GE Druck PCDR1730","4.47","cm","equivalent water depth above sensor diaphragm","0 to 10 psi transducer range","PST","not_stated","15 minutes; daily median available","2013-02-05","2018-09-25","requires_file_inspection","installed with new amplifier and acquisition system; amplifier replaced 2014-11-11; sensor serial changed 2016-11-18","usgs_cc_monitoring_p1p9dmfx","Cleveland_Corral_15_Minute_Data.zip; Cleveland_Corral_Daily_Data.zip","https://www.sciencebase.gov/catalog/item/65d8f08fd34ec3e1801e3efc","high","comparability across amplifier and sensor changes; exact gaps and archive member require file inspection","useful later-period deep hydrologic predictor"
