product_type,sensor_id,measurement_role,installation_segment_id,first_timestamp_pst,last_timestamp_pst,expected_interval_minutes,expected_timestamp_count_in_span,observed_timestamp_count,absent_timestamp_count,blank_measurement_count,nonmissing_measurement_count,eligible_level_count,range_concern_retained_count,blank_percent_of_rows,absent_percent_of_expected
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,2002-10-18T12:49:00-08:00,2005-11-28T23:47:00-08:00,15,109196,97227,11969,630,96597,96597,3984,0.6479681569934278,10.961024213341148
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,2005-11-29T00:02:00-08:00,2007-06-11T23:52:00-08:00,15,53760,52960,800,2027,50933,50844,2855,3.827416918429003,1.4880952380952381
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,2007-06-12T00:07:00-08:00,2008-01-10T23:49:00-08:00,15,20447,20149,298,651,19498,19498,5198,3.230929574668718,1.4574265173375067
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s04_hx_vpa_400_27090342,2008-01-11T00:04:00-08:00,2008-04-23T23:46:00-08:00,15,9983,9911,72,647,9264,9264,97,6.528100090808193,0.7212260843433838
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s05_hx_pa_400_29030259,2008-04-24T00:01:00-08:00,2009-02-11T23:48:00-08:00,15,28224,28137,87,266,27871,27871,15914,0.9453744180260867,0.3082482993197279
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,2009-02-12T00:03:00-08:00,2016-05-31T23:58:00-08:00,15,255936,247349,8587,7571,239778,239778,61870,3.060857331139402,3.3551356589147288
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,2016-06-01T00:13:00-08:00,2018-09-25T08:55:00-08:00,15,81251,80931,320,3644,77287,77287,5141,4.502600981082651,0.39384130656853455
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,1997-10-16T00:11:00-08:00,2006-05-03T23:51:00-08:00,15,299711,261707,38004,751,260956,260878,103420,0.28696213704639156,12.680215274047333
15_minute,mid_P1,15_minute_observation,mid_P1_s02_usgsct2_depth_1_82m,2006-05-04T00:06:00-08:00,2018-09-25T08:55:00-08:00,15,434628,424660,9968,150,424510,424510,236159,0.03532237554749682,2.293455552794574
15_minute,mid_P1,15_minute_observation,outside_documented_operation,1997-03-22T14:09:00-08:00,1997-10-15T23:56:00-08:00,15,19912,19103,809,564,18539,0,0,2.9524158509134693,4.062876657292085
