lag_days,n,correlation,window_id,predictor,response,method,rain_definition,predictor_transformation,response_transformation,prewhitening_ar1_phi
0,2475,0.39086244972313633,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
1,2466,0.38406837376796266,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
2,2460,0.37774716775707295,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
3,2455,0.3708962431259586,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
4,2450,0.3641494790359677,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
5,2447,0.35753882719690133,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
6,2444,0.3510451417278737,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
7,2442,0.343354633370697,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
8,2440,0.33615772084780754,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
9,2438,0.3291096546445182,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
10,2436,0.32199808413433934,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
11,2434,0.3146781408632959,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
12,2432,0.30820938147765814,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
13,2430,0.3016848271560104,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
14,2428,0.29501015064486663,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
15,2426,0.28829321349697673,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
16,2424,0.28169188866492934,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
17,2422,0.2750092606030273,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
18,2420,0.26835007201704114,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
19,2418,0.2622374889114104,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
20,2416,0.25641017716262227,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
21,2414,0.25062909656861126,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
22,2412,0.24464723390775717,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
23,2410,0.238486110052792,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
24,2408,0.2320319741690568,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
25,2406,0.22576065872913267,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
26,2404,0.2188281077384551,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
27,2402,0.2117844019928513,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
28,2400,0.2048414046591698,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
29,2398,0.19797179367292772,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
30,2396,0.190662437293537,middle_stable_2009_2016,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,
0,2442,0.27297947081974705,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
1,2434,0.33988434663588346,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
2,2426,0.020835305442039966,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
3,2419,-0.010924421573574618,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
4,2413,-0.03268616559381624,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
5,2408,-0.05286877711479341,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
6,2405,0.003551240679304028,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
7,2402,-0.02693517564589306,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
8,2400,0.002719732656430963,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
9,2398,-0.026963683674538916,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
10,2396,-0.0260674319990386,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
11,2394,-0.02739270066228574,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
12,2392,0.003032770145006393,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
13,2390,0.03560871300869936,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
14,2388,-0.01082970557350935,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
15,2386,-0.004869734544831675,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
16,2384,0.01082729835148727,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
17,2382,-0.00438836566381052,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
18,2380,0.02673424417728402,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
19,2378,-0.022367069530655766,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
20,2376,-0.032038498619403166,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
21,2374,0.03851361839548294,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
22,2372,0.0166952366455884,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
23,2370,0.010601208541769517,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
24,2368,0.021319899809842727,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
25,2366,0.05570814634568573,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
26,2364,0.020250762520648734,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
27,2362,-0.018291908765246313,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
28,2360,1.2602105626916145e-05,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
29,2358,0.018288885984336485,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
30,2356,-0.008576644814944205,middle_stable_2009_2016,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,
0,2427,0.25247236295317804,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
1,2427,0.31875883184463966,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
2,2419,0.025900243715483294,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
3,2411,-0.03283333241136308,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
4,2404,-0.026826161352388227,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
5,2398,-0.05144282049351482,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
6,2393,0.013804393746442795,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
7,2390,-0.023372034454983513,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
8,2387,0.007718772776354146,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
9,2385,-0.0225121491607582,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
10,2383,-0.02337174184197481,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
11,2381,-0.027413787391968474,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
12,2379,0.004922329057846606,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
13,2377,0.019918331906252744,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
14,2375,-0.008207891581858804,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
15,2374,-0.00715503510684882,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
16,2373,-0.004230222307668764,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
17,2371,-0.01324418776934233,middle_stable_2009_2016,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,
