window_id,window_start,window_end_exclusive,predictor,response,method,rain_definition,predictor_transformation,response_transformation,lag_sign_convention,searched_lag_min_days,searched_lag_max_days,peak_lag_days,peak_correlation,peak_pair_count,bootstrap_block_length_observations,bootstrap_replicates,conditional_peak_correlation_ci_low,conditional_peak_correlation_ci_high,prewhitening_ar1_phi
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P1,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,0,0.39086244972313633,2475,30,500,0.2214995539936889,0.5562791808320559,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P1,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.33988434663588346,2434,30,500,0.2453792527695981,0.42376726014583743,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P1,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.31875883184463966,2427,30,500,0.22766126910092324,0.39406679755673546,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P1,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.28621755466841864,2422,30,500,0.1515200165510135,0.3900172803958181,0.3878109567019985
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P1,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.2727829019576664,2398,30,500,0.1428957298290774,0.37277980872635474,0.37658929352759324
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P2,naive_levels,published_cumulative,daily_cumulative_level,daily_level,positive_lag_predictor_leads_response,0,30,0,0.5881611374149609,2474,30,500,0.4535863544292204,0.7084482984168253,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P2,transformed,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.22437997552521483,2432,30,500,0.12020524010147074,0.3108557739333759,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P2,transformed,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.22681542218944895,2425,30,500,0.12369135369171136,0.3067266650461504,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P2,prewhitened,cumulative_daily_difference,daily_cumulative_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.167150890720171,2419,30,500,0.06176293510466549,0.24420506092195404,0.3878109567019985
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_R,mid_P2,prewhitened,15_minute_interval_sum,daily_interval_sum,daily_first_difference,positive_lag_predictor_leads_response,0,30,1,0.1716784448222917,2395,30,500,0.06821776631982715,0.2510557013150808,0.37658929352759324
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_P1,mid_E2_B,naive_levels,not_applicable,daily_level,daily_level,positive_lag_predictor_leads_response,0,30,30,0.35238756135145627,2336,30,500,0.011850809136797001,0.6337676670776967,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_P1,mid_E2_B,transformed,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,22,-0.023794798144323368,2323,30,500,-0.07322756521688574,0.007940580402013802,
middle_stable_2009_2016,2009-02-12,2016-01-22,mid_P1,mid_E2_B,prewhitened,not_applicable,daily_first_difference,daily_first_difference,positive_lag_predictor_leads_response,0,30,22,-0.025014900753474605,2296,30,500,-0.08446194396721125,0.005819874792134781,0.0662045150131885
