sensor_id,transformation,scope_id,start_date,end_date,n,mean,standard_deviation,minimum,q05,q25,median,q75,q95,maximum,iqr,median_absolute_deviation,range_concern_retained_count
mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2002-10-19,2005-11-27,1119,0.220911528150134,1.229639427580954,-0.5,-0.19999999999999996,0.0,0.0,0.0,0.7999999999999974,16.0,0.0,0.0,27
mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2007-06-07,533,0.44090056285178236,1.7707912974263893,-0.4,-0.19999999999999996,0.0,0.0,0.19999999999998863,3.6399999999999997,23.599999999999994,0.19999999999998863,0.09999999999999432,4
mid_E2_B,daily_first_difference,mid_E2_B_s03_hx_pa_400_29030259,2007-06-13,2008-01-04,205,0.0068292682926829286,0.12268321681545309,-0.20000000000000007,-0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,20
mid_E2_B,daily_first_difference,mid_E2_B_s04_hx_vpa_400_27090342,2008-01-12,2008-04-17,97,-0.010309278350515462,0.1302917688005736,-0.20000000000000018,-0.19999999999999996,-0.09999999999999987,0.0,0.0,0.19999999999999996,0.3999999999999999,0.09999999999999987,0.0,0
mid_E2_B,daily_first_difference,mid_E2_B_s05_hx_pa_400_29030259,2008-04-25,2009-02-10,291,0.0027491408934707915,0.1312775512926613,-0.4,-0.2,0.0,0.0,0.0,0.2,0.7999999999999999,0.0,0.0,153
mid_E2_B,daily_first_difference,mid_E2_B_s06_hx_vpa_400_27090342,2009-02-13,2016-05-31,2520,0.05515476190476191,0.5282589551320415,-2.5,-0.20000000000000018,0.0,0.0,0.0,0.20500000000000007,8.600000000000009,0.0,0.0,584
mid_E2_B,daily_first_difference,mid_E2_B_s07_hx_pa_400_39070751,2016-06-02,2018-09-24,809,0.0035846724351050684,0.16930114233069415,-0.6000000000000001,-0.20000000000000018,0.0,0.0,0.0,0.20000000000000018,1.8,0.0,0.0,20
mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2003,2002-10-18,2003-09-30,346,13.013583815028902,14.376624158386607,0.0,0.2,0.6,1.0,30.1,30.3,30.5,29.5,0.8,0
mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2004,2003-10-01,2004-09-30,362,1.0005524861878452,0.49624598912747264,-0.2,0.0,0.8,1.0,1.4,1.6,1.8,0.5999999999999999,0.25,12
mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2005,2004-10-01,2005-09-30,365,89.84602739726029,99.85041871427894,-0.2,0.2,0.8,12.3,215.7,216.1,216.5,214.89999999999998,12.5,16
mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2006,2005-10-03,2005-11-27,55,0.1909090909090909,0.17026420348945634,0.0,0.0,0.0,0.2,0.2,0.4599999999999994,0.8,0.2,0.09999999999999998,0
mid_E2_B,daily_level,mid_E2_B_s02_hx_vpa_400_27090342__WY2006,2005-12-05,2006-09-30,296,141.16182432432433,109.65501083892285,0.6,0.8,1.2,235.25,235.8,236.6,237.0,234.60000000000002,1.5500000000000114,0
mid_E2_B,daily_level,mid_E2_B_s02_hx_vpa_400_27090342__WY2007,2006-10-01,2007-06-07,242,0.6371900826446282,0.3675944525710215,-0.2,0.0,0.4,0.7,0.9,1.2,1.4,0.5,0.29999999999999993,5
mid_E2_B,daily_level,mid_E2_B_s03_hx_pa_400_29030259__WY2007,2007-06-12,2007-09-30,111,0.6,0.26319712626228897,0.2,0.2,0.4,0.6,0.8,1.0,1.2,0.4,0.19999999999999996,0
mid_E2_B,daily_level,mid_E2_B_s03_hx_pa_400_29030259__WY2008,2007-10-01,2008-01-04,96,0.24895833333333336,0.40444758730544184,-0.4,-0.2,0.0,0.2,0.6,1.0,1.2,0.6,0.39999999999999997,21
mid_E2_B,daily_level,mid_E2_B_s04_hx_vpa_400_27090342__WY2008,2008-01-11,2008-04-17,98,1.1571428571428573,0.3584042525520905,0.4,0.6,1.0,1.0,1.4,1.8,2.0,0.3999999999999999,0.19999999999999996,0
mid_E2_B,daily_level,mid_E2_B_s05_hx_pa_400_29030259__WY2008,2008-04-24,2008-09-30,160,-0.9462499999999998,0.49815855877976706,-1.7,-1.5,-1.3,-1.1,-0.5,-0.09500000000000171,0.1,0.8,0.3999999999999999,152
mid_E2_B,daily_level,mid_E2_B_s05_hx_pa_400_29030259__WY2009,2008-10-01,2009-02-10,133,0.5661654135338345,0.3350457268758167,-0.4,0.16000000000000006,0.4,0.6,0.8,1.0,1.8,0.4,0.19999999999999996,2
mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2009,2009-02-12,2009-09-30,226,-0.3946902654867256,0.6328370979383561,-1.3,-1.3,-1.1,-0.3,0.2,0.6,0.9,1.3,0.5,140
