product_type,sensor_id,measurement_role,installation_segment_id,missing_interval_count,gap_duration_hours,gap_count
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,1,0.25,3296
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,2,0.5,964
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,3,0.75,288
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,4,1.0,76
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,5,1.25,26
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,6,1.5,20
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,7,1.75,6
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,8,2.0,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,9,2.25,4
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,10,2.5,7
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,11,2.75,4
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,13,3.25,4
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,14,3.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,15,3.75,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,21,5.25,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,29,7.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,33,8.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,35,8.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,36,9.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,61,15.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,64,16.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,67,16.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,95,23.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,96,24.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,106,26.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,150,37.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,151,37.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,239,59.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,251,62.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s01_hx_pa_400_29030259,282,70.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,1,0.25,173
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,2,0.5,3
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,4,1.0,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,5,1.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,17,4.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,45,11.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,74,18.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s02_hx_vpa_400_27090342,472,118.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,1,0.25,60
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,3,0.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,5,1.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,8,2.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,88,22.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s03_hx_pa_400_29030259,135,33.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s04_hx_vpa_400_27090342,1,0.25,39
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s04_hx_vpa_400_27090342,4,1.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s04_hx_vpa_400_27090342,30,7.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s05_hx_pa_400_29030259,1,0.25,88
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,1,0.25,1049
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,2,0.5,47
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,3,0.75,11
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,4,1.0,10
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,5,1.25,6
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,7,1.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,8,2.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,12,3.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,13,3.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,25,6.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,29,7.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,36,9.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,53,13.25,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,79,19.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,88,22.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,96,24.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,97,24.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,130,32.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,132,33.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,213,53.25,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,237,59.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,265,66.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,403,100.75,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,430,107.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,666,166.5,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s06_hx_vpa_400_27090342,4053,1013.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,1,0.25,250
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,2,0.5,7
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,3,0.75,2
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,4,1.0,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,5,1.25,1
15_minute,mid_E2_B,15_minute_observation,mid_E2_B_s07_hx_pa_400_39070751,41,10.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,1,0.25,5845
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,2,0.5,1005
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,3,0.75,306
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,4,1.0,85
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,5,1.25,33
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,6,1.5,24
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,7,1.75,9
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,8,2.0,4
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,9,2.25,7
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,10,2.5,7
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,11,2.75,8
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,13,3.25,7
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,14,3.5,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,15,3.75,3
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,16,4.0,4
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,17,4.25,1
15_minute,mid_P1,15_minute_observation,mid_P1_s01_usgs5_depth_1_79m,18,4.5,2
