run_id,sensor_id,transformation,scope_id,start_date,end_date,n,adf_statistic,adf_p_value,adf_used_lags,kpss_statistic,kpss_p_value,kpss_used_lags,joint_interpretation,test_warning
mid_E2_B__daily_first_difference__mid_E2_B_s01_hx_pa_400_29030259__r7,mid_E2_B,daily_first_difference,mid_E2_B_s01_hx_pa_400_29030259,2004-10-02,2005-09-30,364,-4.48933945614959,0.00020554805303148885,12,0.25026853115565517,0.1,11,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_E2_B__daily_first_difference__mid_E2_B_s02_hx_vpa_400_27090342__r1,mid_E2_B,daily_first_difference,mid_E2_B_s02_hx_vpa_400_27090342,2005-12-06,2006-09-13,282,-2.183594992367522,0.2122533118242877,5,0.30809030760275324,0.1,10,tests_disagree_or_are_inconclusive,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_E2_B__daily_first_difference__mid_E2_B_s05_hx_pa_400_29030259__r1,mid_E2_B,daily_first_difference,mid_E2_B_s05_hx_pa_400_29030259,2008-04-25,2008-09-30,159,-6.60171977427545,6.709895234417505e-09,5,0.12043304568267447,0.1,3,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_E2_B__daily_first_difference__mid_E2_B_s06_hx_vpa_400_27090342__r13,mid_E2_B,daily_first_difference,mid_E2_B_s06_hx_vpa_400_27090342,2011-10-02,2012-08-21,325,-8.931344689888082,9.796043938089103e-15,8,0.2821375305103312,0.1,12,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_E2_B__daily_first_difference__mid_E2_B_s07_hx_pa_400_39070751__r5,mid_E2_B,daily_first_difference,mid_E2_B_s07_hx_pa_400_39070751,2017-03-08,2017-09-30,207,-7.422767484237351,6.669005572435544e-11,3,0.06166273477546964,0.1,5,consistent_with_level_stationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is greater than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s01_hx_pa_400_29030259__WY2003__r3,mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2003,2003-02-24,2003-09-30,219,-1.549915209990115,0.508690549541851,6,1.7452949683156902,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s01_hx_pa_400_29030259__WY2004__r2,mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2004,2004-02-23,2004-08-08,168,-0.44808663068549504,0.901755173403687,6,1.553991058544402,0.01,8,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s01_hx_pa_400_29030259__WY2005__r1,mid_E2_B,daily_level,mid_E2_B_s01_hx_pa_400_29030259__WY2005,2004-10-01,2005-09-30,365,-0.36848037624794844,0.9152299053768104,13,2.7414210689560994,0.01,11,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s02_hx_vpa_400_27090342__WY2006__r1,mid_E2_B,daily_level,mid_E2_B_s02_hx_vpa_400_27090342__WY2006,2005-12-05,2006-09-13,283,-1.5317499270999826,0.5177507494243345,6,2.3149059736982807,0.01,10,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s02_hx_vpa_400_27090342__WY2007__r1,mid_E2_B,daily_level,mid_E2_B_s02_hx_vpa_400_27090342__WY2007,2006-10-01,2007-02-22,145,-2.328704256321312,0.16287730664216515,0,1.1199051496255399,0.01,8,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s05_hx_pa_400_29030259__WY2008__r1,mid_E2_B,daily_level,mid_E2_B_s05_hx_pa_400_29030259__WY2008,2008-04-24,2008-09-30,160,-2.096718509694296,0.24583615095188371,0,1.6045390369018158,0.01,8,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s05_hx_pa_400_29030259__WY2009__r1,mid_E2_B,daily_level,mid_E2_B_s05_hx_pa_400_29030259__WY2009,2008-10-01,2009-02-10,133,-2.294813282009424,0.1736462485281302,0,1.2002546252634645,0.01,6,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
mid_E2_B__daily_level__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2,mid_E2_B,daily_level,mid_E2_B_s06_hx_vpa_400_27090342__WY2009,2009-02-18,2009-09-25,220,-1.0175984765371457,0.7467916689313108,6,2.205314817384915,0.01,9,consistent_with_nonstationarity,"The test statistic is outside of the range of p-values available in the
look-up table. The actual p-value is smaller than the p-value returned.
"
