candidate_group_id,run_id,window_id,target_id,segment_id,water_year,candidate_date,candidate_date_range_start,candidate_date_range_end,supporting_setting_count,supporting_methods,sensitivity_stability,context_classification,nearest_context_date,nearest_context_type,context_offset_days,interpretation_limit
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2__c01,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2009,2009-03-21,2009-03-21,2009-03-21,3,Binseg_l2,within_method_only,event_aligned,2009-03-21,run_q95_displacement_episode,0,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2__c02,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2009,2009-04-25,2009-04-25,2009-04-25,2,Binseg_l2,within_method_only,event_aligned,2009-04-24,run_q95_displacement_episode,1,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2__c03,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2009__r2,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2009,2009-07-30,2009-07-30,2009-07-30,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3__c01,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2010,2010-03-21,2010-03-21,2010-03-21,3,Binseg_l2,within_method_only,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3__c02,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2010,2010-04-22,2010-04-22,2010-04-22,2,Binseg_l2,within_method_only,event_aligned,2010-04-21,run_q95_displacement_episode,1,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3__c03,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2010__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2010,2010-06-28,2010-06-28,2010-06-28,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1__c01,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2012,2011-11-06,2011-11-06,2011-11-06,3,Binseg_l2,within_method_only,event_aligned,2011-11-03,run_q95_displacement_episode,3,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1__c02,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2012,2012-03-19,2012-03-19,2012-03-19,2,Binseg_l2,within_method_only,event_aligned,2012-03-20,run_q95_displacement_episode,-1,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1__c03,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2012__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2012,2012-04-21,2012-04-21,2012-04-21,1,Binseg_l2,unstable,event_aligned,2012-04-20,run_q95_displacement_episode,1,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1__c01,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2013,2012-11-27,2012-11-27,2012-11-27,1,Binseg_l2,unstable,event_aligned,2012-11-30,phase3_rain_selected_event,-3,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1__c02,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2013,2012-12-27,2012-12-27,2012-12-27,4,Binseg_l2;PELT_l2,method_stable,event_aligned,2012-12-27,run_q95_displacement_episode,0,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1__c03,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2013__r1,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2013,2013-01-26,2013-01-26,2013-01-26,3,Binseg_l2;PELT_l2,method_stable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3__c01,middle_stable_2009_2016__mid_E2_B_s06_hx_vpa_400_27090342__WY2014__r3,middle_stable_2009_2016,mid_E2_B,mid_E2_B_s06_hx_vpa_400_27090342,2014,2014-06-14,2014-06-14,2014-06-14,1,Binseg_l2,unstable,unexplained,none,none,not_applicable,statistical_candidate_not_a_physical_slope_regime_claim
