window_id,target_id,stage,model_id,model_family,horizon_days,status,attempt_count,fraction_of_scheduled_attempts
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ARIMA,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ARIMA,1,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ARIMA,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ARIMA,2,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ARIMA,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ARIMA,7,ok,58,0.9354838709677419
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ARIMA,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ARIMA,1,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ARIMA,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ARIMA,2,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ARIMA,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ARIMA,7,ok,58,0.9354838709677419
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,1,fit_failure,3,0.04838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,1,ok,58,0.9354838709677419
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,2,fit_failure,3,0.04838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,2,ok,58,0.9354838709677419
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,7,fit_failure,3,0.04838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ARIMA,7,ok,55,0.8870967741935484
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ARIMA,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ARIMA,1,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ARIMA,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ARIMA,2,ok,61,0.9838709677419355
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ARIMA,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ARIMA,7,ok,58,0.9354838709677419
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,1,fit_failure,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,1,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,1,ok,57,0.9193548387096774
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,2,fit_failure,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,2,ineligible_core_origin,1,0.016129032258064516
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,2,ok,57,0.9193548387096774
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,7,fit_failure,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,7,ineligible_core_origin,4,0.06451612903225806
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,ARIMA,7,ok,54,0.8709677419354839
