window_id,target_id,stage,model_id,parameter,fit_count,median,q25,q75,minimum,maximum,converged_fraction
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,ar.L1,61,0.8182815393339029,0.8122672952999889,0.8216797101232244,0.8063941449597556,0.8299696879622551,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,intercept,61,0.014583755045830364,0.013519370216345273,0.015817622336415597,0.012655245611055693,0.017191219461819764,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,sigma2,61,0.11443044247310818,0.10758246719502293,0.1246521614699758,0.10199784712196006,0.13527427343934045,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ar.L1,61,0.8143294019146733,0.8066210324662492,0.8177612156219521,0.8000395236617429,0.8276160346257833,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,ar.S.L7,61,0.023530969786961013,0.022903814901440295,0.0320963524137761,0.013962683678281185,0.03503397047843573,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,intercept,61,0.014595209004853175,0.013532086376186336,0.015834795629795066,0.012665409461168654,0.017206709519939637,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,sigma2,61,0.11439013212554737,0.10749838327100766,0.12460688921316125,0.10190355554322798,0.13523052216734535,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ar.L1,61,0.633253146349825,0.6213391760658727,0.6419148428758907,0.6137125024122203,0.6563892475434241,0.9508196721311475
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,ar.L2,61,0.22716266287928363,0.21962043550845356,0.2363363796583096,0.2097641868415092,0.24062153202994127,0.9508196721311475
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,intercept,61,0.011300856278147349,0.01033468659183638,0.012347534280981733,0.009610757625133203,0.013529714859916693,0.9508196721311475
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,sigma2,61,0.10859153530346785,0.10165210368686027,0.1187069578078912,0.09618868253911626,0.12895021800415835,0.9508196721311475
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ar.L1,61,0.9349924702530122,0.9342543091560537,0.935796374805654,0.9336941153331125,0.936144489311338,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,intercept,61,0.005332091877726547,0.0047478674233976505,0.0059342025990218,0.004289957918328077,0.006680354541633058,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,ma.L1,61,-0.39083537301689936,-0.40290280862725875,-0.38297660275932977,-0.41276720029960234,-0.3669960388461586,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_arma11,sigma2,61,0.10546514586861269,0.09859686688079437,0.11537440572263001,0.09315513515837186,0.12538373600890154,1.0
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,intercept,61,0.0722873152861434,0.0649608465527305,0.08050170916977416,0.059255048493828476,0.08982501537397115,0.9344262295081968
middle_stable_2009_2016,mid_E2_B,evaluation,arima_mean,sigma2,61,0.34224779915223025,0.3121862180574671,0.38042939183236263,0.2877817060966356,0.42731707674197433,0.9344262295081968
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,ar.L1,85,0.8339311113587159,0.007072931510748799,0.8517551736271344,-0.06171349389424173,0.8598465667141157,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,intercept,85,0.018573610173452555,-0.003445760492014363,0.02118564983711666,-0.005216686032269208,0.03066679763922689,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1,sigma2,85,0.14594061171242817,0.02203860303334171,0.16539638362908057,0.017902928038414808,0.2089728134840754,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ar.L1,85,0.8318925186541248,0.006812975655506962,0.8529774636746573,-0.06122334138086731,0.8645597897835274,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,ar.S.L7,85,-0.009531998968867951,-0.015129974469957504,0.013950270661444324,-0.03266932624056382,0.09929849134400952,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,intercept,85,0.018553625472726182,-0.0034768073105605765,0.021159206502217538,-0.005154404866492433,0.030834780892764913,1.0
middle_stable_2009_2016,mid_E2_B,selection,arima_ar1_weekly,sigma2,85,0.1459295582113219,0.02203530187795016,0.16537635737370832,0.017888543721309633,0.20874731306063254,1.0
