window_id,target_id,stage,model_id,horizon_days,dimension,group_value,forecast_count,mae,rmse,bias,mase
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,1,water_year,2013,2,0.20000319229993152,0.2712261996615274,0.18320036695561326,1.1181414695375214
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,1,water_year,2014,25,0.10289599330602033,0.14851829177379341,-0.03256921805663106,0.5899275995245307
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,1,water_year,2015,26,0.11996157731865151,0.15895069870913658,-0.018284399835135464,0.7225618527841312
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,1,water_year,2016,8,0.14000426120707676,0.15744221118830393,0.0851542210596313,0.8490184887249175
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,2,water_year,2013,2,0.03073834136388906,0.030738343096187545,-0.03073834136388906,0.1718207877955244
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,2,water_year,2014,25,0.07361485108980069,0.10762561545180874,-0.03020654264856213,0.42458683942360415
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,2,water_year,2015,26,0.14036044585630336,0.19207491079647931,-0.001641005757837495,0.8452663644133861
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,2,water_year,2016,8,0.17477978915748918,0.21112443554913948,0.1630840614078956,1.0584031263591651
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,7,water_year,2013,1,0.07188036555587118,0.07188036555587118,-0.07188036555587118,0.40186114949083834
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,7,water_year,2014,25,0.11485157692633619,0.15412501950268107,-0.06168544146728456,0.6636341996285867
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,7,water_year,2015,24,0.10661973058843115,0.15421458893920437,-0.01738243014139738,0.6417478878337843
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1,7,water_year,2016,8,0.08512848844384759,0.10912597674633406,-0.08512848844384759,0.516081896991757
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,1,water_year,2013,2,0.19940329646086535,0.2703683756033288,0.18258527839594008,1.114787621517425
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,1,water_year,2014,25,0.1031061331929299,0.15048035122881603,-0.032449138230352025,0.5911848854439399
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,1,water_year,2015,26,0.11848872135539111,0.15775127637704178,-0.016658525287944884,0.7137112042486446
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,1,water_year,2016,8,0.14151592913741584,0.15834089325724174,0.08382781125774319,0.8581821661860288
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,2,water_year,2013,2,0.03267267952583419,0.032729975698001415,-0.03267267952583419,0.18263509180133758
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,2,water_year,2014,25,0.07325368653001091,0.10784225680491566,-0.03035108052081038,0.42267229830158604
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,2,water_year,2015,26,0.1375412521079767,0.19075613557840712,0.001216073589569368,0.8283059127769168
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,2,water_year,2016,8,0.1721354397401203,0.20755335815522424,0.16046754048053297,1.0423858224711524
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,7,water_year,2013,1,0.0718591817267839,0.0718591817267839,-0.0718591817267839,0.40174271717845655
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,7,water_year,2014,25,0.1145488246846795,0.15417032691369745,-0.061094345783217034,0.6619078516507864
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,7,water_year,2015,24,0.10624431266639618,0.15428307833746105,-0.016186880746014144,0.6394943322245904
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar1_weekly,7,water_year,2016,8,0.08303756004820277,0.10652184165134733,-0.08303756004820277,0.5034175180400599
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,1,water_year,2013,2,0.2000129011372565,0.2735994483604535,0.18668555788223828,1.1181989001282753
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,1,water_year,2014,25,0.097028550512814,0.14240535422535328,-0.033274625441964835,0.5577166006241185
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,1,water_year,2015,24,0.12299391664489794,0.15203530087470962,-0.024998684186686482,0.7406697572108659
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,1,water_year,2016,7,0.10116443333476945,0.11132720505182496,0.0447185090557625,0.6127184960765135
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,2,water_year,2013,2,0.022046871988453492,0.022046890275330702,-0.022046871988453492,0.12323730429933574
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,2,water_year,2014,25,0.06888609592803524,0.10514357013594068,-0.024123720634426634,0.3973103018506947
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,2,water_year,2015,24,0.14833725426078945,0.20006832657275206,-0.0074391454896812785,0.8933687251553555
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,2,water_year,2016,7,0.17627235695925175,0.21338166927976154,0.1587397579792827,1.0665203191154227
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,7,water_year,2013,1,0.05579397010504335,0.05579397010504335,-0.05579397010504335,0.31192703024920565
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,7,water_year,2014,25,0.11036359291249133,0.15373946499652819,-0.04744630875947906,0.6378716692364733
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,7,water_year,2015,22,0.11358850363994812,0.16248127257096362,-0.005850218470385979,0.6837162582051
middle_stable_2009_2016,mid_E2_B,evaluation,arima_ar2,7,water_year,2016,7,0.06693767068065622,0.08462644920894975,-0.05946993250595128,0.4052852719686184
